Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6605,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_232_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5642,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_234_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7109,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_235_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5902,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_237_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5725,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_274_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5884,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_277_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5040,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_279_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7718,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_280_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6289,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_286_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6544,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_288_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5208,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_288_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5906,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_289_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5776,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_292_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6373,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_294_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5038,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_297_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5323,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_301_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8239,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_330_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7834,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_331_5.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5177,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_337_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5205,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_339_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7418,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_340_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8319,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_342_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6461,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_360_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6012,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_361_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7529,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_363_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6823,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_364_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8015,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_366_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7055,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_367_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6430,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_369_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5610,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_442_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6210,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_444_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8049,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_445_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6887,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_454_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6035,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_456_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6029,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_463_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7746,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_465_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.9031,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_489_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6045,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_504_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5748,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_505_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7999,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_51_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6259,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_520_5.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.6237,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_520_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6607,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_525_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6843,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_526_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.8690,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_52_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6996,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_549_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8665,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_550_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6843,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_552_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7239,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_555_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5223,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_555_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7763,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_556_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7961,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_558_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6497,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_565_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5496,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_570_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8738,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_577_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7908,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_579_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5338,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_57_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5183,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_580_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.7872,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_582_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5667,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_582_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5937,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_583_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.8992,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_589_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6709,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_591_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5437,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_592_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5930,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_594_0.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.5574,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_595_5.wav
0,3.0,Muscicapa striata,Spotted Flycatcher,0.6406,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_597_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7191,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_73_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5238,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_76_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5022,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_78_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6854,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_040000_93_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6084,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_103_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6966,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_105_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.5500,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_10_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6531,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_111_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6047,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_115_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.8938,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_117_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7002,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_120_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6404,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_121_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5005,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_123_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6237,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_129_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5919,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_12_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7391,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_132_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7322,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_133_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6337,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_135_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5921,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_136_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7632,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_138_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7654,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_139_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5073,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_13_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7409,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_141_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5472,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_142_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7468,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_144_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5191,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_148_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.5259,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_150_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7743,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_151_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.6742,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_153_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.8224,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_154_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7145,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_156_0.wav
0,3.0,Phylloscopus collybita,Common Chiffchaff,0.7050,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_15_0.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7048,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_160_5.wav
0,3.0,Sylvia atricapilla,Eurasian Blackcap,0.7075,E:/Giacomo/Tovanella/PROVA/valid\Fringilla coelebs_Common Chaffinch\20190621_050000_162_0.wav
